Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,0.5
Temperature Correction,0.0
Reference diff Voltage,200.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS0,54400
PS1,54400
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,5V,12V,10.38V,-12V,PS,61.3V
16.3200,27.3750,10.2400,6.2481,5.0369,11.9041,10.5793,-11.9859,57.2406,62.7420
16.4400,27.3750,10.2400,6.3056,5.0378,11.9075,10.5799,-11.9859,57.2344,62.7390
16.5600,27.3750,10.2400,6.3031,5.0369,11.9075,10.5786,-11.9866,57.2447,62.7420
16.6800,27.3750,10.2400,6.3034,5.0188,11.9157,10.5793,-11.9852,57.2199,62.7420
16.8000,27.3750,10.2400,6.2934,5.0188,11.9082,10.5793,-11.9866,57.2364,62.7450
16.9200,27.3750,10.2400,6.2613,5.0287,11.9157,10.5799,-11.9866,57.1869,62.7420
17.0400,27.3750,10.2400,6.2619,5.0237,11.9109,10.5799,-11.9866,57.2344,62.7450
17.1600,27.3750,10.2400,6.2675,5.0378,11.9075,10.5786,-11.9866,57.2344,62.7390
17.2800,27.3750,10.2400,6.2681,5.0378,11.9068,10.5793,-11.9859,57.1539,62.7390
17.4000,27.3750,10.2400,6.3025,5.0369,11.9020,10.5793,-11.9859,57.2488,62.7450
17.5200,27.3750,10.2400,6.2791,5.0372,11.9075,10.5793,-11.9859,57.1704,62.7390
17.6400,27.3750,10.2400,6.2966,5.0381,11.9075,10.5793,-11.9859,57.2179,62.7420
17.7600,27.3750,10.2400,6.2900,5.0372,11.9082,10.5786,-11.9873,57.2344,62.7450
17.8800,27.3750,10.2400,6.3094,5.0375,11.9075,10.5793,-11.9859,57.2303,62.7390
18.0000,27.3750,10.2400,6.2781,5.0372,11.9096,10.5786,-11.9852,57.2323,62.7420
18.1200,27.3750,10.2400,6.3113,5.0381,11.9041,10.5793,-11.9859,57.1869,62.7390
18.2400,27.3750,10.2400,6.3016,5.0188,11.9082,10.5799,-11.9859,57.2179,62.7420
18.3600,27.3750,10.2400,6.2794,5.0375,11.9075,10.5793,-11.9859,57.2406,62.7390
18.4800,27.3750,10.2400,6.2866,5.0287,11.9089,10.5793,-11.9866,57.2509,62.7420
18.6000,27.3750,10.2400,6.3128,5.0372,11.9041,10.5793,-11.9859,57.2323,62.7420
18.7200,27.3750,10.2400,6.2919,5.0378,11.9061,10.5793,-11.9859,57.1704,62.7390
18.8400,27.3750,10.2400,6.2875,5.0378,11.9041,10.5793,-11.9866,57.2323,62.7420
18.9600,27.3750,10.2400,6.2787,5.0369,11.9089,10.5799,-11.9859,57.1704,62.7390
19.0800,27.3750,10.2400,6.2937,5.0262,11.9041,10.5799,-11.9866,57.2488,62.7420
19.2000,27.3750,10.2400,6.3222,5.0375,11.9109,10.5786,-11.9859,57.2406,62.7420
19.3200,27.4375,10.2400,6.3028,5.0356,11.9082,10.5793,-11.9873,57.2344,62.7420
19.4400,27.4375,10.2400,6.2566,5.0378,11.9082,10.5799,-11.9866,57.1869,62.7420
19.5600,27.3750,10.2400,6.3447,5.0375,11.9068,10.5793,-11.9859,57.2323,62.7420
